date;PM25;PM10;TEMP;HUMIDITY;WIND SPEED
04/04/2017;68;57;14.3;61.1;21.2
05/04/2017;83;18;13.7;57.9;17.4
06/04/2017;49;44;6.4;77.4;33.6
07/04/2017;72;45;5.1;84.3;15.3
08/04/2017;68;52;9.7;66.2;27
09/04/2017;106;51;8.1;83.2;13.5
10/04/2017;94;46;13.1;64.3;23.5
11/04/2017;61;33;7.3;67.3;39.3
12/04/2017;84;19;5.7;83.8;24.6
13/04/2017;60;17;7.8;82.0;35.1
14/04/2017;54;32;6.3;81.5;36.9
15/04/2017;84;13;8.3;78.6;21.9
16/04/2017;44;14;4.6;71.8;36.7
17/04/2017;50;15;3.4;62.6;17.2
18/04/2017;50;24;3.4;65.9;37.7
19/04/2017;56;36;4.4;50.7;39.8
20/04/2017;64;59;4.0;47.6;26.6
21/04/2017;106;28;5.6;66.6;30.6
22/04/2017;57;24;7.3;63.0;45.9
23/04/2017;49;33;4.7;71.7;35.2
24/04/2017;61;43;5.9;65.4;28
25/04/2017;83;19;11.4;57.6;33
26/04/2017;63;25;5.8;85.2;15.3
27/04/2017;73;23;5.1;84.1;10
28/04/2017;73;28;5.5;90.9;22.4
29/04/2017;66;24;7.0;79.0;16.6
30/04/2017;69;13;7.5;71.3;19.3
01/05/2017;43;13;10.2;55.9;27.2
02/05/2017;44;19;9.0;65.4;34.3
03/05/2017;64;21;8.5;83.1;23.7
04/05/2017;63;30;12.8;85.2;30.3
05/05/2017;73;48;16.4;72.4;12.1
06/05/2017;83;36;18.0;66.6;15.1
07/05/2017;100;23;12.5;92.1;16.9
08/05/2017;59;25;7.5;84.1;31.5
09/05/2017;47;37;4.5;66.2;31.7
10/05/2017;75;26;5.3;69.2;17.5
11/05/2017;76;33;8.4;81.4;15.3
12/05/2017;81;36;12.8;72.5;27.7
13/05/2017;76;39;15.3;65.3;21.9
14/05/2017;84;52;15.9;61.1;11.1
15/05/2017;86;36;15.4;67.6;15
16/05/2017;65;35;16.9;60.3;19.6
17/05/2017;53;36;16.7;49.8;9.5
18/05/2017;59;32;18.3;48.5;18.8
19/05/2017;52;46;19.5;45.0;25.9
20/05/2017;63;46;20.9;48.1;15.9
21/05/2017;73;40;17.3;71.2;34.9
22/05/2017;51;45;16.8;60.3;19.6
23/05/2017;56;40;18.5;49.6;14.2
24/05/2017;79;33;13.7;84.7;11.7
25/05/2017;59;44;15.6;66.9;19
26/05/2017;71;43;15.5;74.7;20.4
27/05/2017;74;31;17.3;60.7;15.8
28/05/2017;53;41;19.4;58.0;10.1
29/05/2017;62;53;21.3;59.8;18.8
30/05/2017;68;50;21.0;62.4;14.6
31/05/2017;67;47;19.8;66.0;27
01/06/2017;62;46;13.9;65.3;24.1
02/06/2017;57;24;16.2;56.1;25.7
03/06/2017;33;25;15.2;37.9;18.5
04/06/2017;52;33;19.1;55.5;24.8
05/06/2017;58;26;17.6;65.3;22.9
06/06/2017;60;32;19.1;62.9;28
07/06/2017;51;42;18.0;64.8;23.2
08/06/2017;61;43;16.0;60.0;16.3
09/06/2017;64;34;19.1;54.8;13.2
10/06/2017;59;26;19.5;62.0;22
11/06/2017;48;35;19.1;59.9;22.9
12/06/2017;64;30;18.4;71.3;18.8
13/06/2017;53;27;16.1;67.8;29.9
14/06/2017;52;22;15.9;69.1;29.8
15/06/2017;49;29;17.2;66.8;16.1
16/06/2017;64;24;17.7;73.8;18.5
17/06/2017;52;24;16.6;71.0;25.9
18/06/2017;54;32;18.7;66.4;21.9
19/06/2017;54;37;21.9;66.1;20.6
20/06/2017;62;31;24.0;60.7;22.7
21/06/2017;46;40;17.3;56.7;25.1
22/06/2017;56;29;18.4;59.1;14.2
23/06/2017;68;24;18.9;79.3;21.7
24/06/2017;59;25;19.2;75.8;23.8
25/06/2017;56;23;22.0;63.0;16.4
26/06/2017;52;31;18.9;73.8;20
27/06/2017;58;22;19.0;61.3;10.1
28/06/2017;63;25;21.1;81.5;24.8
29/06/2017;61;20;22.7;75.9;25.9
30/06/2017;39;12;19.3;68.3;32.2
01/07/2017;30;16;18.7;67.8;18.7
02/07/2017;40;27;17.3;77.4;26.2
03/07/2017;49;25;16.5;66.7;25.3
04/07/2017;48;30;14.9;70.7;22.2
05/07/2017;55;35;14.2;76.6;15
06/07/2017;58;35;16.4;65.8;15.6
07/07/2017;58;26;18.5;59.7;9.2
08/07/2017;58;27;19.2;68.5;12.6
09/07/2017;60;29;19.2;70.8;15.6
10/07/2017;65;32;21.8;66.5;21.9
11/07/2017;70;34;20.6;82.4;18
12/07/2017;68;24;20.3;75.5;13
13/07/2017;49;35;17.4;76.8;31.1
14/07/2017;52;29;15.8;65.3;14.8
15/07/2017;52;23;17.1;64.5;12.4
16/07/2017;50;33;17.8;64.0;13
17/07/2017;65;39;17.6;74.5;13.7
18/07/2017;55;38;18.2;63.1;11.4
19/07/2017;69;41;20.6;63.1;10.3
20/07/2017;72;47;20.5;80.3;10.6
21/07/2017;94;31;19.5;88.5;9.2
22/07/2017;70;25;21.9;73.3;10.8
23/07/2017;67;35;20.8;80.5;18
24/07/2017;65;21;22.4;65.0;12.7
25/07/2017;61;25;19.3;82.5;19.8
26/07/2017;56;27;17.3;78.7;13.7
27/07/2017;49;27;18.6;72.7;17.2
28/07/2017;61;28;18.1;84.2;12.7
29/07/2017;56;27;18.3;73.6;18.2
30/07/2017;59;38;23.5;61.7;14.5
31/07/2017;61;34;25.4;62.0;15.1
01/08/2017;70;46;27.4;60.4;23.2
02/08/2017;68;39;24.3;67.4;15.8
03/08/2017;74;45;23.9;73.1;14.5
04/08/2017;63;42;23.8;64.0;16.1
05/08/2017;58;28;21.8;62.1;14
06/08/2017;59;30;20.0;67.7;20
07/08/2017;44;27;18.0;61.4;11.3
08/08/2017;47;30;19.0;60.3;24.8
09/08/2017;58;34;22.9;61.2;24.1
10/08/2017;74;42;24.7;70.3;24.1
11/08/2017;94;27;27.2;65.4;22.2
12/08/2017;58;15;20.2;78.6;20.4
13/08/2017;50;19;17.1;75.0;14.5
14/08/2017;43;15;18.1;60.3;16.7
15/08/2017;39;30;19.4;54.8;18.2
16/08/2017;54;23;21.4;54.8;15.9
17/08/2017;62;55;19.4;79.3;14.6
18/08/2017;85;31;22.9;65.9;14
19/08/2017;67;23;19.9;80.3;17.9
20/08/2017;70;22;15.9;95.5;8
21/08/2017;57;18;15.0;82.7;13.5
22/08/2017;52;19;14.5;86.8;19.3
